기준월,토픽ID,토픽명,제목,날짜,URL
2024-08,토픽1,은행·금융권 소상공인 지원,"산청군, 중기 소상공인 육성기금 지원",2024-08-26,https://view.asiae.co.kr/article/2024082609103414611
2024-08,토픽1,은행·금융권 소상공인 지원,"케이뱅크, 상반기 순이익 854억원 '역대 최대'",2024-08-13,https://view.asiae.co.kr/article/2024081309192220342
2024-08,토픽2,코로나 방역·지자체 행정,"구미시, 저출생 대책 추경예산 확보 하반기 핵심사업 본격화",2024-08-08,https://view.asiae.co.kr/article/2024080812581918725
2024-08,토픽2,코로나 방역·지자체 행정,"중랑구, 278억 규모 추가경정예산안 편성... 주민 안전 복지 분야 중점",2024-08-27,https://view.asiae.co.kr/article/2024082707524596234
2024-08,토픽2,코로나 방역·지자체 행정,"경기도, 제1회 추경안 37조1077억원 편성 '민생회복 지역경제' 방점",2024-08-22,https://view.asiae.co.kr/article/2024082210163887454
2024-08,토픽2,코로나 방역·지자체 행정,"용인시, 2회 추경예산 1112억원 증액 편성",2024-08-23,https://view.asiae.co.kr/article/2024082308135440365
2024-08,토픽2,코로나 방역·지자체 행정,"尹 ""지난 정부 국가채무 400조원 늘려 재정지출 효율성 높여야""(종합)",2024-08-27,https://view.asiae.co.kr/article/2024082711105185473
2024-08,토픽3,최저임금·노사 협상,"소공연 회장에 송치영 산업용재협회장 당선 ""한 단계 업그레이드할 것""",2024-08-29,https://view.asiae.co.kr/article/2024082917135219355
2024-08,토픽3,최저임금·노사 협상,"고용부, 내년 최저임금 '1만30원' 고시 월 209만6270원",2024-08-05,https://view.asiae.co.kr/article/2024080508160323523
2024-08,토픽3,최저임금·노사 협상,"경제단체 ""광복절 특사로 중소기업 소상공인 경영 복귀 환영""",2024-08-13,https://view.asiae.co.kr/article/2024081316075769347
2024-08,토픽3,최저임금·노사 협상,"서울 중구, '명동스퀘어' 새 BI 공개",2024-08-02,https://view.asiae.co.kr/article/2024080210454348249
2024-08,토픽3,최저임금·노사 협상,"고용부 내년 최저임금 확정 고시 ""제도 개선 이달 논의""(종합)",2024-08-05,https://view.asiae.co.kr/article/2024080509590500148
2024-08,토픽4,지역화폐·소비쿠폰,"인천 연수구, 新송도해변축제 기간 연수e음 15% 캐시백",2024-08-08,https://view.asiae.co.kr/article/2024080814324508669
2024-08,토픽4,지역화폐·소비쿠폰,"“명절 경제 활성화”  창원특례시, 9월 4일 6일 누비전 150억 발행",2024-08-20,https://view.asiae.co.kr/article/2024082013425759320
2024-08,토픽4,지역화폐·소비쿠폰,포항사랑상품권 추석맞이 10% 특별할인판매 3일부터 350억 발행,2024-08-27,https://view.asiae.co.kr/article/2024082709570842357
2024-08,토픽4,지역화폐·소비쿠폰,“10% 할인 효과”...강남사랑상품권 빨리 쓰면 5% 할인 더 준다,2024-08-22,https://view.asiae.co.kr/article/2024082207122345958
2024-08,토픽4,지역화폐·소비쿠폰,"영주사랑상품권, 추석 맞아 한도 80만원으로 상향",2024-08-26,https://view.asiae.co.kr/article/2024082612312797572
2024-08,토픽5,물가·민생 거시대책,"정부 ""티메프 미정산 8200억 이상 재발방지 대책 곧 발표""",2024-08-02,https://view.asiae.co.kr/article/2024080210472056143
2024-08,토픽5,물가·민생 거시대책,"정부 ""티메프 피해 유동성 지원 1.6조원으로 확대""",2024-08-21,https://view.asiae.co.kr/article/2024082108040327508
2024-08,토픽5,물가·민생 거시대책,티메프 ‘1조 피해’ 현실화 자율 구조조정 한 달 동안 출구 찾을까,2024-08-03,https://view.asiae.co.kr/article/2024080215481508815
2024-08,토픽5,물가·민생 거시대책,"최상목 ""티메프 피해 두껍게 지원 1.2조원 유동성 공급""",2024-08-07,https://view.asiae.co.kr/article/2024080708504348290
2024-08,토픽5,물가·민생 거시대책,판 커지는 티메프 민사소송 회생 신청으로 실익 불투명,2024-08-05,https://view.asiae.co.kr/article/2024080507351836203
2024-08,토픽6,온라인 플랫폼·디지털 지원,머리카락 나왔다던 고객 환불해주니 다 먹은 그릇에 쓰레기 넣어 보내,2024-08-13,https://view.asiae.co.kr/article/2024081311154936792
2024-08,토픽6,온라인 플랫폼·디지털 지원,"티메프 떠난 셀러들, 11번가 '둥지' 오리지널 누적매출 900억",2024-08-26,https://view.asiae.co.kr/article/2024082608384730514
2024-08,토픽6,온라인 플랫폼·디지털 지원,"홈플러스 '택배배송', 신규 입점 셀러 ""수수료 0%""",2024-08-06,https://view.asiae.co.kr/article/2024080608305950457
2024-08,토픽6,온라인 플랫폼·디지털 지원,5대 백화점 롯데마트 롯데ON 입점 희망 우수 中企 모집,2024-08-11,https://view.asiae.co.kr/article/2024081016141792946
2024-08,토픽6,온라인 플랫폼·디지털 지원,"인터파크커머스-11번가, 10억원대 정산금 두고 대립",2024-08-06,https://view.asiae.co.kr/article/2024080618512949997
2024-08,토픽7,상생협력·중소기업 지원,"신라대-미창조 리안헤어, 전문인재 양성 업무협약 체결",2024-08-08,https://view.asiae.co.kr/article/2024080815073880559
2024-08,토픽7,상생협력·중소기업 지원,"철도공단, 공공데이터 활용 아이디어 공모",2024-08-01,https://view.asiae.co.kr/article/2024080111110379369
2024-08,토픽7,상생협력·중소기업 지원,"롯데, 韓 중소기업 베트남 진출 돕는다 현지서 동행축제",2024-08-29,https://view.asiae.co.kr/article/2024082913554205972
2024-08,토픽7,상생협력·중소기업 지원,동남아 시장 개척 위해 모였다 베트남 동행축제 개막,2024-08-30,https://view.asiae.co.kr/article/2024082918552152350
2024-08,토픽7,상생협력·중소기업 지원,소상공인 제품 '동행축제'타고 세계로 해외서 첫 개막,2024-08-29,https://view.asiae.co.kr/article/2024082910472768766
2024-09,토픽0,정치권 재난·위기 재정대응,"'최장 지각 대통령 불참'국회 개원 禹 ""정부, 국회 존중해야""(종합)",2024-09-02,https://view.asiae.co.kr/article/2024090216300973588
2024-09,토픽0,정치권 재난·위기 재정대응,"한동훈 이재명, 민생 공약 협의 기구 운영키로 채상병 특검법 합의 불발",2024-09-01,https://view.asiae.co.kr/article/2024090118475569307
2024-09,토픽0,정치권 재난·위기 재정대응,"[전문] 박찬대 ""의료대란 해결 위해 여 야 의 정 비상협의체 만들자""",2024-09-04,https://view.asiae.co.kr/article/2024090410381549932
2024-09,토픽0,정치권 재난·위기 재정대응,"김동연, 전국민 25만원 '총론 찬성, 각론 반대' ""취약층 두텁게 지원해야""",2024-09-07,https://view.asiae.co.kr/article/2024090714055023923
2024-09,토픽0,정치권 재난·위기 재정대응,"하남시, 집중호우 피해 재난지원금 가구당 300만원씩 지급",2024-09-13,https://view.asiae.co.kr/article/2024091314455772879
2024-09,토픽1,은행·금융권 소상공인 지원,"케이뱅크, 개인사업자 부동산담보대출 '후순위 대출' 출시",2024-09-24,https://view.asiae.co.kr/article/2024092410181225879
2024-09,토픽1,은행·금융권 소상공인 지원,"iM뱅크, 금용소외계층에 50 90%채무감면 5년 분할 성실상환 인센티브",2024-09-03,https://view.asiae.co.kr/article/2024090310294985000
2024-09,토픽1,은행·금융권 소상공인 지원,"카카오뱅크, 개인사업자 신용대출 금리 최대 0.4%p 인하",2024-09-05,https://view.asiae.co.kr/article/2024090509434030717
2024-09,토픽1,은행·금융권 소상공인 지원,"금융당국, 저축은행 다중채무자 대손충당금 기준 '단계적 상향'",2024-09-08,https://view.asiae.co.kr/article/2024090617512465264
2024-09,토픽1,은행·금융권 소상공인 지원,"케이뱅크, 증권신고서 제출 공모가 희망범위 9500~1만2000원",2024-09-13,https://view.asiae.co.kr/article/2024091314584204342
2024-09,토픽2,코로나 방역·지자체 행정,"고양시, 3조3865억원 규모 제2회 추가경정예산안 제출",2024-09-27,https://view.asiae.co.kr/article/2024092715472083516
2024-09,토픽2,코로나 방역·지자체 행정,"금천구, 30살 맞이 ‘민생행복’ 미래 설계",2024-09-24,https://view.asiae.co.kr/article/2024092416363314129
2024-09,토픽2,코로나 방역·지자체 행정,"관악구, 2024년도 제1회 추경안 638억 원 편성...일자리 CCTV 투자",2024-09-13,https://view.asiae.co.kr/article/2024091308340345224
2024-09,토픽2,코로나 방역·지자체 행정,"관악구, 2025년 주민참여예산 사업 약 14억7000만원 선정",2024-09-08,https://view.asiae.co.kr/article/2024090820372134667
2024-09,토픽2,코로나 방역·지자체 행정,"서민금융 청년지원에 집중 금융위, 내년 예산 4조2408억원 편성",2024-09-09,https://view.asiae.co.kr/article/2024090910514705977
2024-09,토픽3,최저임금·노사 협상,"새벽에 서울 도로 한복판에서 요가하고, 춤 이런 걸 언제 해보겠어요""",2024-09-26,https://view.asiae.co.kr/article/2024092509005005317
2024-09,토픽3,최저임금·노사 협상,서리풀페스티벌’ 28~29일 차 없는 반포대로서 개최,2024-09-23,https://view.asiae.co.kr/article/2024092309563838947
2024-09,토픽3,최저임금·노사 협상,제7대 동반성장위원장에 이달곤 전 행정안전부 장관 선임,2024-09-10,https://view.asiae.co.kr/article/2024090920520100543
2024-09,토픽3,최저임금·노사 협상,"중기부, 소상공인연합회 공직유관단체 지정 추진",2024-09-26,https://view.asiae.co.kr/article/2024092608582374474
2024-09,토픽3,최저임금·노사 협상,"성심당, 대전역 남는다 월 수수료 4.4억→1.3억 타결",2024-09-27,https://view.asiae.co.kr/article/2024092714162455594
2024-09,토픽4,지역화폐·소비쿠폰,함양사랑상품권 추석맞이 15% 특별 할인 판매,2024-09-02,https://view.asiae.co.kr/article/2024090208541566443
2024-09,토픽4,지역화폐·소비쿠폰,"관악구, 제9 10호 골목형상점가 지정 골목상권 활력 불어넣는다",2024-09-01,https://view.asiae.co.kr/article/2024090107405950045
2024-09,토픽4,지역화폐·소비쿠폰,천안사랑카드 9월~10월 캐시백 10%로 상향,2024-09-02,https://view.asiae.co.kr/article/2024090213144362480
2024-09,토픽4,지역화폐·소비쿠폰,"송파구, 추석 맞아 ‘송파사랑상품권’ 240억 원 발행",2024-09-02,https://view.asiae.co.kr/article/2024090207024681167
2024-09,토픽4,지역화폐·소비쿠폰,착한가격업소서 천안사랑카드 결제 시 5% 추가 캐시백,2024-09-13,https://view.asiae.co.kr/article/2024091310250617465
2024-09,토픽5,물가·민생 거시대책,"'쯔양 협박 혐의' 구제역, 첫 공판서 ""공소사실 모두 거짓말""",2024-09-06,https://view.asiae.co.kr/article/2024090613240672004
2024-09,토픽5,물가·민생 거시대책,"美 피벗 영향 점검 최상목 ""높은 경계심 갖고 변동성 확대에 대응""",2024-09-19,https://view.asiae.co.kr/article/2024091908323215991
2024-09,토픽5,물가·민생 거시대책,"정부, 티메프 피해기업에 3432억원 집행 소비자에 401억원 환불",2024-09-12,https://view.asiae.co.kr/article/2024091208492248040
2024-09,토픽5,물가·민생 거시대책,"기재차관 ""건설 자영업 취업자 감소 고용 상황 점검해 맞춤 지원""",2024-09-11,https://view.asiae.co.kr/article/2024091110190247458
2024-09,토픽5,물가·민생 거시대책,"최상목 ""가계대출, 경계의식 갖고 안정적으로 관리""",2024-09-12,https://view.asiae.co.kr/article/2024091208342965585
2024-09,토픽6,온라인 플랫폼·디지털 지원,"11번가, 서울시와 손잡고 온라인 전용관 연말까지 운영",2024-09-25,https://view.asiae.co.kr/article/2024092509552704934
2024-09,토픽6,온라인 플랫폼·디지털 지원,"추석 차례상, 전통시장이 대형마트보다 7만3000원 저렴",2024-09-06,https://view.asiae.co.kr/article/2024090608233392971
2024-09,토픽6,온라인 플랫폼·디지털 지원,"KT SK브로드밴드 ""인터넷 장애에 소상공인 한 달 치 요금 보상""",2024-09-13,https://view.asiae.co.kr/article/2024091307091782531
2024-09,토픽6,온라인 플랫폼·디지털 지원,"""5년 역직구 수수료 제로"" 알리, 파격적인 'K셀러' 러브콜",2024-09-25,https://view.asiae.co.kr/article/2024092508022290956
2024-09,토픽6,온라인 플랫폼·디지털 지원,"""집에서 밥을 안 해먹으니 "" 위기 빠진 밥솥 회사의 파격 변신",2024-09-24,https://view.asiae.co.kr/article/2024092400581513866
2024-09,토픽7,상생협력·중소기업 지원,"동반위-우아한형제들, 중소상공인 무료 노무컨설팅 지원",2024-09-06,https://view.asiae.co.kr/article/2024090608320226683
2024-09,토픽7,상생협력·중소기업 지원,"국민대, 문제 해결 프로그램 아이디어 콘테스트 시상식 개최",2024-09-24,https://view.asiae.co.kr/article/2024092414334221972
2024-09,토픽7,상생협력·중소기업 지원,"한국수퍼마켓협동조합, '관리자 워크숍' 개최 ""중소유통 발전 방향은""",2024-09-26,https://view.asiae.co.kr/article/2024092609254706166
2024-09,토픽7,상생협력·중소기업 지원,"최승재 중기 옴부즈만 ""경영에 실질적 도움되는 규제 개선""",2024-09-05,https://view.asiae.co.kr/article/2024090509053351495
2024-09,토픽7,상생협력·중소기업 지원,‘동행축제’서 환경 생각하는 제품 뜬다,2024-09-20,https://view.asiae.co.kr/article/2024091916271070289
2024-10,토픽0,정치권 재난·위기 재정대응,이만규 대구시의회 의장 “부가세 신고 납부 기한 25일→월말 변경해야” 세법개정 건의,2024-10-01,https://view.asiae.co.kr/article/2024100113565816813
2024-10,토픽0,정치권 재난·위기 재정대응,[논단]노년세대를 활용할 전략 세워야 한다,2024-10-21,https://view.asiae.co.kr/article/2024101811340998239
2024-10,토픽0,정치권 재난·위기 재정대응,"민주당, 모경종 청년위원장 등 전국위원장 10명 선출",2024-10-24,https://view.asiae.co.kr/article/2024102419145356840
2024-10,토픽0,정치권 재난·위기 재정대응,여야 2차 대표회담 '이재명 사법리스크' 전 만날까,2024-10-29,https://view.asiae.co.kr/article/2024102910554776740
2024-10,토픽0,정치권 재난·위기 재정대응,여야 '민생공통공약 협의회' 28일 출범 반도체 AI 저출생 등 논의,2024-10-27,https://view.asiae.co.kr/article/2024102717143823873
2024-10,토픽1,은행·금융권 소상공인 지원,"케이뱅크, ‘사장님 보증서대출’ 출시 포용금융 확대",2024-10-04,https://view.asiae.co.kr/article/2024100410081875058
2024-10,토픽1,은행·금융권 소상공인 지원,"경기도, 중 저신용 소상공인 부채상환 연장 특례보증 시행",2024-10-01,https://view.asiae.co.kr/article/2024100108131692412
2024-10,토픽1,은행·금융권 소상공인 지원,"토스뱅크-대구신보, 소상공인 금융지원 MOU 체결",2024-10-28,https://view.asiae.co.kr/article/2024102811285064015
2024-10,토픽1,은행·금융권 소상공인 지원,"토스뱅크, 소상공인 위한 '서울신속드림보증대출' 출시",2024-10-18,https://view.asiae.co.kr/article/2024101809432632736
2024-10,토픽1,은행·금융권 소상공인 지원,[1mm금융톡]역대급 실적 앞두고 상생 강화하는 은행권,2024-10-22,https://view.asiae.co.kr/article/2024102116224367522
2024-10,토픽2,코로나 방역·지자체 행정,"구리시, 민선8기 공약사업 추진상황 보고회 개최",2024-10-30,https://view.asiae.co.kr/article/2024103015381397167
2024-10,토픽2,코로나 방역·지자체 행정,[2025 서울시 예산]'48조' 역대 최대 '저출생 안전' 시민복지 방점,2024-10-31,https://view.asiae.co.kr/article/2024103109313640217
2024-10,토픽2,코로나 방역·지자체 행정,"내년 예산 '48조' 내놓은 오세훈 ""건전재정 유지, 의지의 문제""(종합)",2024-10-31,https://view.asiae.co.kr/article/2024103111415543401
2024-10,토픽2,코로나 방역·지자체 행정,"포항시, 2025년 AI 활용 업무효율 높이고 도시 경쟁력 확실하게 잡는다",2024-10-07,https://view.asiae.co.kr/article/2024100712052987922
2024-10,토픽2,코로나 방역·지자체 행정,"관악구, 2024년도 제1회 추가경정예산 647억 원 확정",2024-10-28,https://view.asiae.co.kr/article/2024102807135111252
2024-10,토픽3,최저임금·노사 협상,"서점업 LPG연료 소매업, ‘생계형 적합업종’으로 재지정",2024-10-14,https://view.asiae.co.kr/article/2024101418364042135
2024-10,토픽3,최저임금·노사 협상,"오승록 노원구청장, 2024년 특성화고 직무역량 페스티벌 참석",2024-10-28,https://view.asiae.co.kr/article/2024102820263014642
2024-10,토픽3,최저임금·노사 협상,명동의 변신 ‘명동스퀘어’ 조성해 관광 랜드마크 만든다,2024-10-23,https://view.asiae.co.kr/article/2024102311512454214
2024-10,토픽3,최저임금·노사 협상,"성동구, 제7회 성수도시재생축제 '꽃길만 걸어요' 개최",2024-10-08,https://view.asiae.co.kr/article/2024100806592052327
2024-10,토픽3,최저임금·노사 협상,경기도야외도서관 독서문화 페스타 성료 8200여명 방문,2024-10-28,https://view.asiae.co.kr/article/2024102812340923294
2024-10,토픽4,지역화폐·소비쿠폰,"관악구, 전통시장 점포 턴어라운드 경영 지원",2024-10-31,https://view.asiae.co.kr/article/2024103108091105870
2024-10,토픽4,지역화폐·소비쿠폰,"평택시, 고덕면 '태평상가' 골목형상점가 2호 지정",2024-10-02,https://view.asiae.co.kr/article/2024100214452631201
2024-10,토픽4,지역화폐·소비쿠폰,"영주시, 모바일 영주사랑상품권 적립률 15%로 일시 상향한다",2024-10-28,https://view.asiae.co.kr/article/2024102810592622061
2024-10,토픽4,지역화폐·소비쿠폰,"중랑구, 신내구길 겸재한신길 '골목형상점가' 신규 지정",2024-10-16,https://view.asiae.co.kr/article/2024101607421873195
2024-10,토픽4,지역화폐·소비쿠폰,"가평군, 11월 1일부터 ‘가평GP페이’ 소비지원금 지원",2024-10-07,https://view.asiae.co.kr/article/2024100711011546936
2024-10,토픽5,물가·민생 거시대책,자영업자 고용보험 가입 보험료 지원 신청 '한 번에 가능',2024-10-15,https://view.asiae.co.kr/article/2024101508192707477
2024-10,토픽5,물가·민생 거시대책,"금리 실기론에 한은 금통위원 ""너무 단순한 지적""",2024-10-29,https://view.asiae.co.kr/article/2024102817223523892
2024-10,토픽5,물가·민생 거시대책,"중소기업계 ""기준금리 인하 환영 시중은행 금리 인하로 이어져야""",2024-10-11,https://view.asiae.co.kr/article/2024101111081739607
2024-10,토픽5,물가·민생 거시대책,"최상목 ""반도체 추가지원, 이차전지 경쟁력 강화방안 마련""",2024-10-28,https://view.asiae.co.kr/article/2024102808314766333
2024-10,토픽5,물가·민생 거시대책,"최상목 ""배달플랫폼 입점업체 상생협의 이달 중 최종안 도출""",2024-10-04,https://view.asiae.co.kr/article/2024100408520305417
2024-10,토픽6,온라인 플랫폼·디지털 지원,"포커스에이치엔에스, 포인트모바일과 시너지 'AI 시장서 입지 강화'",2024-10-23,https://view.asiae.co.kr/article/2024102315252844607
2024-10,토픽6,온라인 플랫폼·디지털 지원,"농수산물 온라인도매시장 거래액 3000억원 달성 ""매달 30% 이상 성장""",2024-10-21,https://view.asiae.co.kr/article/2024102115053608443
2024-10,토픽6,온라인 플랫폼·디지털 지원,"부릉, 음식물 쓰레기 수거 전문 서비스와 제휴",2024-10-31,https://view.asiae.co.kr/article/2024103110433317317
2024-10,토픽6,온라인 플랫폼·디지털 지원,겨울 시즌 스타벅스 상생음료 판매 소상공인 카페 모집,2024-10-28,https://view.asiae.co.kr/article/2024102809331184160
2024-10,토픽6,온라인 플랫폼·디지털 지원,전통시장 디지털화로 매출액 늘었다 중장년층서 긍정 효과,2024-10-04,https://view.asiae.co.kr/article/2024100409053771667
2024-10,토픽7,상생협력·중소기업 지원,"SK C&C, '클릭 ISO'로 중소기업 ISO 인증 획득 갱신 지원",2024-10-07,https://view.asiae.co.kr/article/2024100708210326133
2024-10,토픽7,상생협력·중소기업 지원,"중기부, ‘2024 대한민국 소상공인대회’ 개최",2024-10-31,https://view.asiae.co.kr/article/2024103113350260581
2024-10,토픽7,상생협력·중소기업 지원,소상공인 성장지원 ‘드림팀’ 떴다,2024-10-28,https://view.asiae.co.kr/article/2024102810595828961
2024-10,토픽7,상생협력·중소기업 지원,"전국 전통시장 우수성 알린다 ""국내 넘어 세계까지""",2024-10-18,https://view.asiae.co.kr/article/2024101810121901124
2024-10,토픽7,상생협력·중소기업 지원,"재단법인 경청, KAIST 제13회 지식재산대상 선정",2024-10-10,https://view.asiae.co.kr/article/2024101014122229858
2024-11,토픽0,정치권 재난·위기 재정대응,"김동연 ""지금은 돈 써야할 때"" 경기도, 폭설 피해 301억 긴급수혈",2024-11-29,https://view.asiae.co.kr/article/2024112914374853058
2024-11,토픽0,정치권 재난·위기 재정대응,"광주시, 12월부터 배출가스 5등급 차량 운행 제한",2024-11-24,https://view.asiae.co.kr/article/2024112413021208695
2024-11,토픽0,정치권 재난·위기 재정대응,"""'군 간부 50인분' 속지 마세요"" 음식점 4650곳에 '노쇼 경보' 발령",2024-11-28,https://view.asiae.co.kr/article/2024112814101647971
2024-11,토픽0,정치권 재난·위기 재정대응,"최상목 ""野감액예산, 국가 기능 마비 깊은 유감""",2024-11-29,https://view.asiae.co.kr/article/2024112921191367374
2024-11,토픽0,정치권 재난·위기 재정대응,"與 ""추경, 검토하지 않아 내년도 예산안 처리에 최선""(종합)",2024-11-22,https://view.asiae.co.kr/article/2024112211340936774
2024-11,토픽1,은행·금융권 소상공인 지원,"가계 개인사업자 대출연체 차주 비중 ↑ ""정책지원, 이용 활성화 필요""",2024-11-24,https://view.asiae.co.kr/article/2024112413231617479
2024-11,토픽1,은행·금융권 소상공인 지원,"인천신보-중소기업은행, 300억 규모 협약보증 지원 제조업 중장년 우대",2024-11-15,https://view.asiae.co.kr/article/2024111510485827917
2024-11,토픽1,은행·금융권 소상공인 지원,"기업은행, 소기업 소상공인에 4000억원 지역별 '맞춤형 금융지원'",2024-11-14,https://view.asiae.co.kr/article/2024111413440959582
2024-11,토픽1,은행·금융권 소상공인 지원,"경기신보, 중기銀 50억원 출연 도내 소상공인 등 750억원 보증",2024-11-18,https://view.asiae.co.kr/article/2024111814004946514
2024-11,토픽1,은행·금융권 소상공인 지원,"기업은행, 3Q 누적 순이익 2.2조원 '사상 최대'",2024-11-01,https://view.asiae.co.kr/article/2024110115483783199
2024-11,토픽2,코로나 방역·지자체 행정,"백경현 시장, 내년 시정운영 6대 방향 제시 예산 7427억 편성",2024-11-20,https://view.asiae.co.kr/article/2024112018273359568
2024-11,토픽2,코로나 방역·지자체 행정,"파주시, 민생회복 위해 ‘전략적 확대재정’ 추진",2024-11-19,https://view.asiae.co.kr/article/2024111911221712201
2024-11,토픽2,코로나 방역·지자체 행정,"화성시 ""민생경제 회복 위해 내년 예산 3.5조원 9.98%↑""",2024-11-08,https://view.asiae.co.kr/article/2024110817371670999
2024-11,토픽2,코로나 방역·지자체 행정,"경기도, 내년 예산 7.2% 늘린다 38조7081억원 편성",2024-11-05,https://view.asiae.co.kr/article/2024110510121746163
2024-11,토픽2,코로나 방역·지자체 행정,"남양주시, 2025년 예산 2조2720억 편성 “100만 메가시티 도약 방점”",2024-11-20,https://view.asiae.co.kr/article/2024112015290798488
2024-11,토픽3,최저임금·노사 협상,"'합성니코틴은 담배인가' 국회, 21대 이어 22대서도 장고",2024-11-28,https://view.asiae.co.kr/article/2024112817355977029
2024-11,토픽3,최저임금·노사 협상,"서울시의회 감사 출석한 안성재 ""흑백요리사로 외식업 살아나""",2024-11-08,https://view.asiae.co.kr/article/2024110816004316368
2024-11,토픽3,최저임금·노사 협상,"송치영 소공연 회장 ""최저임금 개선 시급 배달수수료 적극 대응""",2024-11-12,https://view.asiae.co.kr/article/2024111215475256553
2024-11,토픽3,최저임금·노사 협상,노원구 소상공인 매니저 활동 대만족,2024-11-29,https://view.asiae.co.kr/article/2024112907370264475
2024-11,토픽3,최저임금·노사 협상,"경기도, 내달 20일까지 지역화폐 부정유통행위 일제단속",2024-11-25,https://view.asiae.co.kr/article/2024112507194235424
2024-11,토픽4,지역화폐·소비쿠폰,"여주시, 연말 경기살리기 여주사랑카드 소비지원금 지원",2024-11-06,https://view.asiae.co.kr/article/2024110617283586941
2024-11,토픽4,지역화폐·소비쿠폰,"관악구, 제11호 '녹두골목형상점가' 지정 서울시 최다 골목형상점가 보유",2024-11-04,https://view.asiae.co.kr/article/2024110408190370713
2024-11,토픽4,지역화폐·소비쿠폰,"관악구, 올해 마지막 ‘관악사랑상품권(5% 할인)' 80억 발행",2024-11-07,https://view.asiae.co.kr/article/2024110707515665969
2024-11,토픽4,지역화폐·소비쿠폰,"성북구, 성북사랑상품권 40억 발행 10% 할인 효과",2024-11-12,https://view.asiae.co.kr/article/2024111215195584991
2024-11,토픽4,지역화폐·소비쿠폰,"관악구, 녹두거리 별빛거리 등 7개 골목상권 5000원 할인 받을 쿠폰 제공",2024-11-03,https://view.asiae.co.kr/article/2024110308363578379
2024-11,토픽5,물가·민생 거시대책,"기재1차관 ""김장재료 수급안정 유가연동보조금 2개월 추가 연장""",2024-11-05,https://view.asiae.co.kr/article/2024110508582542626
2024-11,토픽5,물가·민생 거시대책,"대통령실 ""금통위 금리인하 결정 존중 내수회복 도움될 것""(종합)",2024-11-28,https://view.asiae.co.kr/article/2024112811153596328
2024-11,토픽5,물가·민생 거시대책,10월 취업자 증가 8만명대 '뚝' 쉬었음 인구는 역대 최대(종합),2024-11-13,https://view.asiae.co.kr/article/2024111310230694373
2024-11,토픽5,물가·민생 거시대책,"美 신정부 출범 불확실성 관리 최상목 ""민생경제 안정 총력""",2024-11-22,https://view.asiae.co.kr/article/2024112216510458442
2024-11,토픽5,물가·민생 거시대책,"""있는대로 다 말할게요"" 쯔양 '구제역 공갈 혐의' 재판 출석",2024-11-15,https://view.asiae.co.kr/article/2024111516333454784
2024-11,토픽6,온라인 플랫폼·디지털 지원,"포인트모바일, 넥슨 자회사 NMP에 P10 공급 ""결제시장 본격 진출""",2024-11-19,https://view.asiae.co.kr/article/2024111914115961561
2024-11,토픽6,온라인 플랫폼·디지털 지원,"노란우산 가입자 10명 중 7명 ""소득공제 한도 확대해야""",2024-11-24,https://view.asiae.co.kr/article/2024112410105627976
2024-11,토픽6,온라인 플랫폼·디지털 지원,"""평일 1000만원 매출에도 나가는 돈에 먹튀도 많아"" 정준하 웃픈 사연",2024-11-14,https://view.asiae.co.kr/article/2024111410544588201
2024-11,토픽6,온라인 플랫폼·디지털 지원,"""소기업 소상공인 노란우산 가입 확대 노력"" 중기중앙회-카카오뱅크 '맞손'",2024-11-12,https://view.asiae.co.kr/article/2024111208491450305
2024-11,토픽6,온라인 플랫폼·디지털 지원,"현대차, 소상공인의 날 맞아 ST1 활용 사례 공모",2024-11-04,https://view.asiae.co.kr/article/2024110410462595586
2024-11,토픽7,상생협력·중소기업 지원,"中企와 '윈윈' 대기업 공공기관, ""동반성장은 선택 아닌 필수""",2024-11-20,https://view.asiae.co.kr/article/2024111915575297099
2024-11,토픽7,상생협력·중소기업 지원,"한국석유공사, ‘올해의 SNS’ 블로그 부문 2년 연속 ‘대상’ 수상",2024-11-21,https://view.asiae.co.kr/article/2024112115373012596
2024-11,토픽7,상생협력·중소기업 지원,"중기부, 2024 동반성장 주간 기념식 개최",2024-11-26,https://view.asiae.co.kr/article/2024112613184889901
2024-11,토픽7,상생협력·중소기업 지원,"중기부, 소상공인협동조합 컨퍼런스 개최",2024-11-05,https://view.asiae.co.kr/article/2024110510554231495
2024-11,토픽7,상생협력·중소기업 지원,"경북개발공사, ‘올해의 SNS’ 유튜브 공사부문 2년 연속 최우수상 수상",2024-11-22,https://view.asiae.co.kr/article/2024112209335724200
2024-12,토픽0,정치권 재난·위기 재정대응,"국회, 윤석열 탄핵소추안 본회의 통과 찬성 204표(상보)",2024-12-14,https://view.asiae.co.kr/article/2024121417140697793
2024-12,토픽0,정치권 재난·위기 재정대응,"국회, 윤석열 탄핵소추안 본회의 통과 찬성 204표(종합)",2024-12-14,https://view.asiae.co.kr/article/2024121419123616034
2024-12,토픽0,정치권 재난·위기 재정대응,"경기도, 11월 대설 피해 복구에 3116억5천만원 투입",2024-12-29,https://view.asiae.co.kr/article/2024122910470291495
2024-12,토픽0,정치권 재난·위기 재정대응,"안성시, 지난달 폭설 피해 최종 집계액 1828억원",2024-12-16,https://view.asiae.co.kr/article/2024121608231524766
2024-12,토픽0,정치권 재난·위기 재정대응,경기도 폭설 피해 4768억원 피해 접수 13일까지 연장,2024-12-09,https://view.asiae.co.kr/article/2024120911260524209
